No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
7,Tiny Archibald,PG,6-1,150,September 2 1948,us US,9,Arizona Western College Texas-El Paso,architi01
33,Larry Bird,PF,6-9,220,December 7 1956,us US,1,Indiana State University,birdla01
30,M.L. Carr,SF,6-6,205,January 9 1951,us US,5,Guilford College,carrml01
40,Terry Duerod,SG,6-2,180,July 29 1956,us US,1,Detroit Mercy,duerote01
45,Eric Fernsten,C,6-10,205,November 1 1953,us US,3,San Francisco,fernser01
42,Chris Ford,SG,6-5,190,January 11 1949,us US,8,Villanova,fordch01
43,Gerald Henderson,PG,6-2,175,January 16 1956,us US,1,VCU,hendege01
20,Wayne Kreklow,SG,6-4,175,January 4 1957,us US,R,Drake University,kreklwa01
31,Cedric Maxwell,SF,6-8,205,November 21 1955,us US,3,UNC Charlotte,maxwece01
32,Kevin McHale,PF,6-10,210,December 19 1957,us US,R,Minnesota,mchalke01
00,Robert Parish,C,7-1,230,August 30 1953,us US,4,Centenary (LA),parisro01
53,Rick Robey,C,6-11,230,January 30 1956,us US,2,Kentucky,robeyri01
